sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","FTA/FGA","+1%","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,"Iowa Hawkeyes",38,25.4,41.6,35.6,1.401,25.4,17.1,8.3,67.3,67.3,0.08,7.6,67.3,25.4,17.1,8.3,67.3,0,0,0,,0
2,"Indiana Hoosiers",32,24.9,41.9,33.8,1.355,24.9,16.2,8.8,64.9,64.9,0.09,8.7,64.9,24.9,16.2,8.8,64.9,0,0,0,,0
3,"Connecticut Huskies",37,26.1,44.9,34.5,1.321,26.1,16.7,9.4,64,64,0.06,6,64,26.1,16.7,9.4,64,0,0,0,,0
4,"Florida Gulf Coast Eagles",37,24.2,40.8,31.5,1.303,24.2,15.2,8.9,63.1,63.1,0.07,7,63.1,24.2,15.2,8.9,63.1,0,0,0,,0
5,"Drexel Dragons",32,16.3,28.6,20.7,1.268,16.3,10,6.3,61.5,61.5,0.07,6.5,61.5,16.3,10,6.3,61.5,0,0,0,,0
6,"Creighton Bluejays",31,18.5,31,23.4,1.265,18.5,11.3,7.2,61.3,61.3,0.06,5.4,61.3,18.5,11.3,7.2,61.3,0,0,0,,0
7,"Iona Gaels",33,20.8,40.2,26.2,1.259,20.8,12.9,7.9,61.9,61.9,0.04,3.8,61.9,20.8,12.9,7.9,61.9,0,0,0,,0
8,"Harvard Crimson",32,22.3,36.9,28,1.258,22.3,13.5,8.8,60.7,60.7,0.06,6.5,60.7,22.3,13.5,8.8,60.7,0,0,0,,0
9,"Virginia Tech Hokies",36,17.5,30.4,21.9,1.25,17.5,10.5,7,60.1,60.1,0.08,8.1,60.1,17.5,10.5,7,60.1,0,0,0,,0
10,"Purdue Boilermakers",30,22.3,38.5,27.7,1.243,22.3,13.3,8.9,59.9,59.9,0.06,5.8,59.9,22.3,13.3,8.9,59.9,0,0,0,,0
11,"UNLV Rebels",34,24.2,39.2,30,1.242,24.2,14.5,9.7,59.9,59.9,0.06,6.1,59.9,24.2,14.5,9.7,59.9,0,0,0,,0
12,"Michigan Wolverines",34,21,36.3,26.1,1.241,21,12.6,8.4,59.9,59.9,0.05,5.5,59.9,21,12.6,8.4,59.9,0,0,0,,0
13,"Louisville Cardinals",38,21.9,35.6,27.1,1.239,21.9,13,8.9,59.5,59.5,0.07,6.7,59.5,21.9,13,8.9,59.5,0,0,0,,0
13,"Ohio State Buckeyes",36,28.3,44,35,1.239,28.3,16.5,11.8,58.3,58.3,0.1,10.1,58.3,28.3,16.5,11.8,58.3,0,0,0,,0
15,"Liberty Flames",33,22.9,39.3,28.2,1.234,22.9,13.6,9.3,59.5,59.5,0.07,7,59.5,22.9,13.6,9.3,59.5,0,0,0,,0
