sep=,
"Rank","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","TO%","%FT","FTA/FGA","%SF","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,"Iowa Hawkeyes",38,83.9,100,86.9,1.035,61.1,31.2,30,51,58.5,16.8,13.1,0.33,9.7,46.9,36.6,21.9,14.7,59.8,24.5,9.2,15.3,37.7,0.4
2,"Florida Gulf Coast Eagles",37,76.2,100,77.1,1.013,59.2,28.1,31.2,47.4,57.1,14.7,9.9,0.23,7.9,43.9,28.3,16.6,11.7,58.6,30.9,11.5,19.4,37.2,0.52
3,"Indiana Hoosiers",32,79.8,100,79.8,1,59.4,29.4,30.1,49.4,55.3,15.5,13.1,0.31,10.3,46.4,40.2,22.4,17.8,55.7,19.3,7,12.3,36.4,0.32
4,"Utah Utes",32,83.7,100,82.8,0.989,60.2,29,31.1,48.3,55.2,16.8,13.5,0.35,9.9,45.6,36.4,20.7,15.7,56.9,23.8,8.3,15.4,35,0.39
5,"Colorado State Rams",32,74.6,100,72.3,0.97,59.9,26.6,33.3,44.4,51.1,11.5,10.3,0.23,9.1,43.5,37.9,18.5,19.4,48.8,22,8.1,13.9,36.8,0.37
6,"South Dakota State Jackrabbits",35,81.9,100,78,0.952,59.1,27.7,31.4,46.9,52.6,16,14.9,0.37,11.7,44.6,39.4,21,18.4,53.3,19.7,6.7,13,34.1,0.33
7,"Ball State Cardinals",35,81.9,100,77.2,0.942,60.8,28.1,32.7,46.3,53,15.7,12,0.3,9.5,43.5,36.8,19.9,16.8,54.2,24,8.2,15.8,34.1,0.4
8,"Creighton Bluejays",31,75.7,100,70.9,0.936,59.6,26.5,33.2,44.4,52.2,14.7,8.2,0.19,6,41.1,33.6,17.1,16.5,50.9,26,9.4,16.6,36,0.44
9,"Ohio State Buckeyes",36,85.8,100,80,0.932,64.2,29.4,34.8,45.8,51.4,15.6,13.2,0.31,11.2,43,42.6,22.3,20.4,52.2,21.5,7.1,14.4,33.2,0.34
9,"UNLV Rebels",34,82.1,100,76.5,0.932,61.7,28.2,33.6,45.6,51,15.1,11.9,0.29,9.5,43.2,41.9,21.6,20.3,51.6,19.9,6.6,13.3,33,0.32
11,"Connecticut Huskies",37,81.2,100,75.6,0.931,58.2,28.7,29.5,49.3,54.5,19.3,11.1,0.28,8.6,43.5,41.3,22.7,18.6,55,16.9,6,10.9,35.6,0.29
11,"Middle Tennessee State Blue Raiders",33,78.2,100,72.8,0.931,57.9,24.8,33.2,42.8,49.5,14.8,13.4,0.34,10.2,42.2,32.5,16.9,15.5,52.1,25.5,7.8,17.6,30.8,0.44
13,"Sacramento State Hornets",34,73.7,100,68.5,0.929,53.6,24.6,29,45.9,54.2,18.9,10.3,0.27,7.4,41.3,30,15.7,14.4,52.2,23.6,8.9,14.6,37.8,0.44
14,"Virginia Tech Hokies",36,77.8,100,72.1,0.926,57.8,25.8,31.9,44.7,51.4,16.5,11.8,0.29,8.5,42,34.7,18,16.7,51.9,23.1,7.8,15.3,33.9,0.4
15,"Toledo Rockets",34,78.4,100,72.5,0.925,57.3,25.5,31.8,44.5,50.2,15.6,13.1,0.34,9.6,43.3,37.9,19.1,18.8,50.4,19.4,6.4,13,33.1,0.34
16,"Drake Bulldogs",32,85.6,100,79,0.923,59.8,28.5,31.3,47.7,54.2,19.8,12.4,0.33,9.5,42.5,36.4,20.7,15.7,56.9,23.4,7.8,15.6,33.4,0.39
17,"Oklahoma State Cowgirls",33,81.7,100,75.4,0.922,61.6,27.8,33.8,45.1,51.8,15.7,10.9,0.26,8.7,41.8,39.1,19.6,19.5,50.1,22.5,8.2,14.3,36.6,0.37
18,"Northern Iowa Panthers",33,80.2,100,73.6,0.918,60.4,26.4,33.9,43.8,50.7,14.9,12.6,0.3,10.4,41.7,36.1,18.1,18.1,50,24.2,8.4,15.9,34.5,0.4
19,"Illinois Fighting Illini",32,81.8,100,75,0.917,63,28.7,34.3,45.5,51.2,15.5,9.4,0.22,7.9,42,43.7,21.5,22.2,49.2,19.3,7.2,12.2,37,0.31
20,"Utah Tech University Trailblazers",31,81.6,100,74.8,0.916,60.1,27.1,32.9,45.2,53.5,18.7,9.9,0.24,7.4,40.3,31.1,17.1,14,55.1,29,10,19,34.5,0.48
21,"Villanova Wildcats",37,76.7,100,70.2,0.915,60.6,26.4,34.3,43.5,49,12.6,9.8,0.23,8,42.2,40.1,19.6,20.4,49,20.6,6.7,13.8,32.7,0.34
21,"Stanford Cardinal",35,83,100,75.9,0.915,62,28.1,33.9,45.3,50.8,15.6,11.5,0.29,8.8,42.7,41.9,21.2,20.7,50.6,20,6.8,13.2,34.1,0.32
23,"LSU Tigers",36,89.4,100,81.6,0.912,65.5,30.1,35.4,45.9,49.9,14.9,14.4,0.36,11.6,44.1,50.7,24.9,25.7,49.2,14.8,5.1,9.7,34.6,0.23
24,"Maryland Terrapins",35,86.5,100,78.6,0.909,64.9,28.7,36.1,44.3,49.5,15.4,11.5,0.28,9.3,42.3,45.9,21.9,24,47.8,19,6.8,12.2,35.8,0.29
25,"Belmont Bruins",35,78.8,100,71.5,0.908,58.4,25.3,33.1,43.4,50.5,15.8,12.7,0.31,9.6,41.1,34.1,17.1,17,50.2,24.3,8.3,16.1,33.9,0.42
26,"South Carolina Gamecocks",37,87.9,100,79.8,0.907,65.9,30.2,35.8,45.8,49.1,13.9,13.7,0.33,11.4,44.3,51.4,25.8,25.6,50.2,14.5,4.4,10.1,30.3,0.22
27,"Gonzaga Bulldogs",33,78.6,100,71.1,0.904,58.5,25.8,32.7,44.2,50.8,17.1,10.4,0.25,7.6,40.8,39.1,18.1,20.9,46.4,19.5,7.7,11.8,39.7,0.33
27,"Iowa State Cyclones",32,82.7,100,74.8,0.904,61.6,25.8,35.8,41.9,49.1,15.6,11.6,0.29,8.5,40.5,34.5,17,17.5,49.4,27.1,8.8,18.3,32.5,0.44
29,"New Mexico Lobos",34,81.5,100,73.6,0.903,61.4,26.8,34.6,43.6,50.5,16.7,10.3,0.25,8.3,40.3,36.2,18.3,18,50.4,25.2,8.5,16.7,33.8,0.41
30,"Michigan Wolverines",34,81.1,100,73.1,0.902,57.9,26.5,31.5,45.7,50.8,18.4,12,0.31,8.9,42.2,40.1,20.6,19.6,51.2,17.8,5.9,11.9,33.2,0.31
31,"Oklahoma Sooners",33,92.8,100,83.4,0.899,68.1,30.3,37.8,44.5,51,17.6,10.9,0.27,8,40.9,42.7,21.3,21.4,49.9,25.4,9,16.4,35.4,0.37
32,"Stephen F. Austin Lumberjacks",33,83.8,100,75.2,0.898,58,26.6,31.4,45.9,51.6,19,14.1,0.37,11.4,42.3,37.9,20,17.9,52.8,20.1,6.6,13.5,32.9,0.35
33,"Oregon Ducks",35,82.9,100,74.3,0.896,63.8,27.2,36.6,42.7,48.9,14.2,10.7,0.26,9.4,41,42,19.2,22.8,45.8,21.7,8,13.8,36.7,0.34
34,"Drexel Dragons",32,75.2,100,66.9,0.89,57,25.5,31.6,44.7,49,15.4,10.5,0.26,7.5,42.1,42.1,20.5,21.7,48.6,14.9,5,9.9,33.5,0.26
35,"Santa Clara Broncos",31,79.8,100,71,0.889,61.1,26.1,34.9,42.8,48.9,15.3,10,0.24,7.8,40.4,37.3,18.6,18.7,50,23.7,7.5,16.3,31.5,0.39
36,"Idaho Vandals",31,77.8,100,69.1,0.888,59.5,24.2,35.3,40.7,48.3,14.9,10.9,0.26,8.5,39.1,31.6,15.1,16.5,47.7,27.8,9.1,18.7,32.7,0.47
