,AdjOff,AdjDef,AdjNet,Team,NET,Rank,Diff,Conference
561087,1.3418494379687873,0.6873604862283457,0.6544889517404416,South Carolina,1,1,0,SEC
560694,1.3324490244003286,0.7225475722054152,0.6099014521949134,UConn,2,2,0,Big East
560818,1.398726446892584,0.8092405516433326,0.5894858952492513,Iowa,4,3,1,Big Ten
561123,1.3099338379076078,0.7627854053073585,0.5471484326002493,Stanford,5,4,1,Pac-12
561155,1.2836049329066512,0.7496988591246899,0.5339060737819613,Texas,3,5,-2,Big 12
561183,1.2832579433969458,0.7840290252012281,0.4992289181957177,Utah,12,6,6,Pac-12
560661,1.2337201001929958,0.7456427721230636,0.4880773280699322,UCLA,6,7,-1,Pac-12
560993,1.2509311374509733,0.7772634919476723,0.473667645503301,Ohio St.,9,8,1,Big Ten
560811,1.2639030202924624,0.7931778005867249,0.47072521970573744,Indiana,13,9,4,Big Ten
560962,1.2056461060555699,0.7460905174142752,0.45955558864129464,NC State,11,10,1,ACC
561101,1.2419853575225832,0.7843069959781724,0.45767836154441077,Southern California,10,11,-1,Pac-12
561196,1.271620727101713,0.819230046310203,0.45239068079151,Virginia Tech,19,12,7,ACC
560850,1.254147427638021,0.8047794770617182,0.44936795057630274,LSU,7,13,-6,SEC
560990,1.1889849737998888,0.7410583842488228,0.447926589551066,Notre Dame,8,14,-6,ACC
561005,1.2355515256690877,0.7904617966882709,0.4450897289808168,Oregon St.,16,15,1,Pac-12
560776,1.3064639766155917,0.8630213555249386,0.443442621090653,Gonzaga,14,16,-2,WCC
560894,1.2754427414188907,0.843839239910009,0.4316035015088817,Michigan St.,22,17,5,Big Ten
560829,1.171580146879432,0.7405028971995495,0.4310772496798825,Kansas St.,18,18,0,Big 12
560724,1.1674211531344898,0.740038661685604,0.42738249144888585,Duke,20,19,1,ACC
560701,1.2539670365489086,0.8315341967990276,0.422432839749881,Creighton,23,20,3,Big East
560611,1.1681856908168557,0.7481939824329369,0.41999170838391886,Baylor,17,21,-4,Big 12
560690,1.2178491015454165,0.8079633693350438,0.4098857322103727,Colorado,15,22,-7,Pac-12
561209,1.1480781908897109,0.7392762448374791,0.40880194605223175,West Virginia,21,23,-2,Big 12
561013,1.2030585304325132,0.8196972439940089,0.3833612864385043,Penn St.,29,24,5,Big Ten
560854,1.1838003364938199,0.8021599185872594,0.38164041790656045,Louisville,24,25,-1,ACC
561142,1.2276382960590961,0.8556931737148976,0.3719451223441985,Tennessee,26,26,0,SEC
560934,1.1802911075682567,0.8118749023498594,0.36841620521839735,Nebraska,25,27,-2,Big Ten
561203,1.1694979231937084,0.8187647652775852,0.35073315791612314,Washington St.,33,28,5,Pac-12
560927,1.14228057159164,0.7922888449207153,0.3499917266709247,North Carolina,36,29,7,ACC
560906,1.1283068514713819,0.7803030368009921,0.34800381467038977,Ole Miss,34,30,4,SEC
560876,1.1841487098631425,0.8372969512960435,0.34685175856709893,Maryland,32,31,1,Big Ten
560816,1.2071509030468572,0.8642470905288271,0.34290381251803015,Iowa St.,31,32,-1,Big 12
560999,1.16808098641696,0.8268754859233285,0.3412055004936314,Oklahoma,27,33,-6,Big 12
561132,1.1934373755961438,0.8551487184244486,0.3382886571716952,Syracuse,44,34,10,ACC
560582,1.1522866008024855,0.8179409468462108,0.3343456539562747,Alabama,30,35,-5,SEC
560805,1.1983206536147648,0.8649496490294812,0.33337100458528357,Illinois,41,36,5,Big Ten
560754,1.1680700420560661,0.8357025216204985,0.3323675204355676,Florida St.,45,37,8,ACC
561027,1.1556893360754361,0.8236350088758437,0.3320543271995924,Princeton,35,38,-3,Ivy League
561191,1.1534448158516246,0.827261471058128,0.32618334479349664,Villanova,46,39,7,Big East
560831,1.1874111475803386,0.8620357961358753,0.3253753514444633,Kansas,38,40,-2,Big 12
560902,1.1849614156414474,0.8611569503037154,0.323804465337732,Mississippi St.,43,41,2,SEC
561146,1.103745426691943,0.7806452131130671,0.32310021357887597,Texas A&M,39,42,-3,SEC
560595,1.1324580448129833,0.8119647752363461,0.32049326957663715,Arizona,37,43,-6,Pac-12
560870,1.1216939942291493,0.8027289282040461,0.3189650660251032,Marquette,42,44,-2,Big East
561205,1.1094986215590656,0.7946804871592282,0.3148181343998374,Washington,50,45,5,Pac-12
560938,1.1625447220754654,0.8485732162276349,0.3139715058478305,UNLV,28,46,-18,Mountain West
561148,1.1438349576605238,0.8369140508244948,0.306920906836029,TCU,48,47,1,Big 12
560896,1.1271179571270464,0.8213212096138133,0.30579674751323316,Michigan,49,48,1,Big Ten
560603,1.0470773551546915,0.7503674497147448,0.2967099054399467,Auburn,47,49,-2,SEC
560997,1.140587429962566,0.8466849789946659,0.29390245096790013,Oklahoma St.,58,50,8,Big 12
560890,1.105546751969622,0.8122827776329122,0.2932639743367098,Miami (FL),51,51,0,ACC
561079,1.1062438352995654,0.8187355158615593,0.28750831943800603,Seton Hall,64,52,12,Big East
560656,1.1415820285141578,0.8642292036713273,0.2773528248428305,California,61,53,8,Pac-12
561060,1.0986855467475964,0.8306842861084385,0.26800126063915797,Saint Joseph's,59,54,5,Atlantic 10
560898,1.1036277838052646,0.8429185981846536,0.26070918562061096,Middle Tenn.,40,55,-15,CUSA
561198,1.1170131713473928,0.8564756523469556,0.2605375190004372,Virginia,62,56,6,ACC
560692,1.1717229650736176,0.9113862376634154,0.2603367274102022,Columbia,56,57,-1,Ivy League
