,#,Name,P,MP,GS,FGM,FGA,3FG,3FGA,FT,FTA,PTS,ORebs,DRebs,Tot Reb,AST,TO,STL,BLK,PF,DQ,Tech Fouls,Team ID,Opponent ID,Game ID
11,,USC Upstate,,200:00,1,26,48,4,10,17,26,73,9,30,39,16,21,7,2,14,0,0,560551,560548,3972835
10,,North Florida,,200:00,1,22,65,9,36,7,12,60,14,17,31,13,16,8,3,21,0,0,560548,560551,3972835
11,,High Point,,200:00,1,30,69,14,35,6,6,80,10,33,43,19,10,4,11,16,2,0,560554,560550,3971807
9,,Wofford,,200:00,1,21,70,11,32,11,14,64,16,29,45,12,13,5,1,12,0,0,560550,560554,3971807
12,,High Point,,200:00,1,18,51,6,25,7,10,49,10,27,37,9,21,7,5,26,1,0,560554,560551,3979790
10,,USC Upstate,,200:00,1,15,49,7,15,22,27,59,10,26,36,12,15,6,3,13,0,0,560551,560554,3979790
9,,USC Upstate,,200:00,1,22,56,1,10,5,8,50,11,21,32,13,18,9,4,17,1,0,560551,560554,3982691
10,,High Point,,200:00,1,17,44,5,24,14,17,53,4,23,27,7,17,10,4,12,0,1,560554,560551,3982691
10,,UIW,,200:00,1,21,57,4,24,15,21,61,12,23,35,10,14,6,3,25,1,0,560549,560556,3977345
11,,A&M-Corpus Christi,,200:00,1,18,47,4,16,23,31,63,10,25,35,12,20,9,5,19,0,0,560556,560549,3977345
13,,A&M-Corpus Christi,,200:00,1,25,57,7,21,8,14,65,8,30,38,16,14,13,2,14,0,0,560556,560549,3984637
14,,UIW,,200:00,1,14,57,5,26,10,13,43,14,26,40,8,20,3,2,19,1,0,560549,560556,3984637
13,,Belmont,,200:00,1,26,50,3,11,15,18,70,8,35,43,11,19,6,5,12,0,0,560553,560559,3974325
13,,Lipscomb,,200:00,1,22,62,6,22,1,4,51,7,18,25,12,11,5,3,16,0,0,560559,560553,3974325
11,,Lipscomb,,250:00,1,31,72,8,29,24,30,94,11,41,52,16,11,7,4,20,1,0,560559,560548,3982304
11,,North Florida,,250:00,1,28,79,13,43,13,19,82,14,31,45,13,11,7,4,25,2,0,560548,560559,3982304
11,,North Florida,,200:00,1,12,37,6,22,8,13,38,2,23,25,6,21,4,4,24,0,0,560548,560561,3977271
14,,FGCU,,200:00,1,26,55,8,24,10,27,70,13,25,38,17,11,8,0,15,0,0,560561,560548,3977271
9,,Lipscomb,,200:00,1,22,55,2,12,8,12,54,7,22,29,6,16,7,4,17,1,0,560559,560561,3979955
12,,FGCU,,200:00,1,29,66,6,26,11,17,75,18,29,47,11,15,7,6,12,0,0,560561,560559,3979955
11,,FGCU,,200:00,1,28,64,10,36,9,12,75,9,33,42,15,8,12,6,11,0,0,560561,560548,3984328
11,,North Florida,,200:00,1,13,55,2,24,5,10,33,11,25,36,4,17,1,0,10,0,0,560548,560561,3984328
12,,Tarleton St.,,200:00,1,17,50,3,18,5,9,42,10,31,41,9,25,4,4,19,1,0,560568,560549,3974983
11,,UIW,,200:00,1,21,55,5,19,10,16,57,4,25,29,8,12,10,0,17,0,0,560549,560568,3974983
12,,Tarleton St.,,200:00,1,19,48,5,18,17,22,60,12,25,37,10,20,7,3,16,0,0,560568,560563,3982010
12,,Utah Valley,,200:00,1,19,51,2,12,15,23,55,10,19,29,8,14,13,4,21,0,0,560563,560568,3982010
9,,Utah Valley,,200:00,1,24,49,10,15,15,21,73,8,18,26,23,17,8,3,20,2,0,560563,560568,3984667
10,,Tarleton St.,,200:00,1,20,43,4,11,22,24,66,5,19,24,16,18,13,4,21,0,0,560568,560563,3984667
12,,UC San Diego,,200:00,1,19,65,5,29,7,13,50,12,23,35,11,13,9,0,15,0,0,560566,560570,3970249
10,,California Baptist,,200:00,1,23,48,7,25,11,17,64,3,36,39,15,20,8,2,18,1,0,560570,560566,3970249
8,,California Baptist,,200:00,1,30,54,14,25,6,10,80,2,30,32,24,15,6,1,19,0,0,560570,560563,3976948
13,,Utah Valley,,200:00,1,26,63,1,15,8,19,61,14,25,39,15,13,5,1,16,1,0,560563,560570,3976948
13,,Tarleton St.,,200:00,1,19,59,10,30,11,15,59,4,33,37,14,15,6,3,12,0,0,560568,560570,3977966
9,,California Baptist,,200:00,1,30,72,15,41,14,15,89,10,38,48,24,11,9,1,11,0,0,560570,560568,3977966
11,,Utah Valley,,225:00,1,32,68,11,33,17,26,92,10,37,47,26,21,8,5,16,1,0,560563,560570,3982945
9,,California Baptist,,225:00,1,32,75,13,36,12,15,89,7,32,39,24,17,16,2,20,2,0,560570,560563,3982945
10,,California Baptist,,200:00,1,31,70,20,50,15,18,97,11,32,43,28,9,8,0,15,0,0,560570,560568,3983895
11,,Tarleton St.,,200:00,1,23,62,10,28,8,8,64,7,28,35,17,18,3,0,14,1,1,560568,560570,3983895
12,,North Ala.,,200:00,1,25,65,11,40,6,12,67,7,20,27,19,11,6,1,18,0,0,560572,560559,3978472
10,,Lipscomb,,200:00,1,31,59,10,25,13,17,85,11,34,45,15,17,3,1,15,0,0,560559,560572,3978472
