Date,Opponent,Result,Attendance,GameID
11/06/2023,"('Bradley', '/teams/560625')",W 73-66,"('1,203', None)",3970221
11/11/2023,"('@ UTEP', '/teams/561157')",L 60-62,"('1,093', None)",3970806
11/14/2023,"('Utah St.', '/teams/561181')",L 60-62,"('462', None)",3971414
11/18/2023,"('Kansas @Kansas City, MO', '/teams/560831')",L 61-70,"('867', None)",3972102
11/22/2023,"('Chicago St. @Cleveland, OH (23-24 WBB Viking Invitational)', '/teams/560675')",W 77-46,"('418', None)",3972603
11/24/2023,"('Austin Peay @Cleveland, OH (23-24 WBB Viking Invitational)', '/teams/560605')",L 63-78,"('380', None)",3972692
11/25/2023,"('@ Cleveland St. 23-24 WBB Viking Invitational', '/teams/560681')",L 55-82,"('374', None)",3972987
12/02/2023,"('Arkansas St.', '/teams/560597')",W 62-57,"('544', None)",3973950
12/06/2023,"('Bellevue', None)",W 84-34,"('391', None)",3974353
12/10/2023,"('Western Ill.', '/teams/561213')",W 68-60,"('561', None)",3974991
12/14/2023,"('Alabama A&M', '/teams/560578')",W 57-52,"('530', None)",3975220
12/18/2023,"('Kansas Christian', None)",W 121-37,"('408', None)",3975680
12/21/2023,"('@ Missouri', '/teams/560907')",L 42-85,"('4,152', None)",3976027
12/29/2023,"('@ Oral Roberts', '/teams/561003')",L 61-76,"('1,335', None)",3976191
12/31/2023,"('St. Thomas (MN)', '/teams/560734')",L 57-66,"('472', None)",3976532
01/03/2024,"('Portland St.', '/teams/561021')",W 75-56,"('374', None)",3976821
01/06/2024,"('@ Weber St.', '/teams/561207')",W 61-51,"('356', None)",3977098
01/11/2024,"('@ North Dakota St.', '/teams/560965')",L 60-63,"('1,027', None)",3977961
01/13/2024,"('@ North Dakota', '/teams/560967')",L 62-76,"('1,405', None)",3978144
01/20/2024,"('Omaha', '/teams/560936')",W 88-74,"('292', None)",3979370
01/25/2024,"('South Dakota St.', '/teams/561089')",L 49-72,"('559', None)",3979995
01/27/2024,"('@ South Dakota', '/teams/561093')",L 62-72,"('2,606', None)",3980365
02/01/2024,"('@ Denver', '/teams/560717')",L 50-65,"('245', None)",3980985
02/03/2024,"('@ St. Thomas (MN)', '/teams/560734')",L 55-75,"('445', None)",3981135
02/08/2024,"('North Dakota St.', '/teams/560965')",L 59-70,"('582', None)",3982013
02/10/2024,"('North Dakota', '/teams/560967')",W 86-71,"('735', None)",3982408
02/15/2024,"('@ South Dakota St.', '/teams/561089')",L 53-74,"('1,828', None)",3982989
02/22/2024,"('South Dakota', '/teams/561093')",L 60-74,"('470', None)",3983764
02/24/2024,"('@ Omaha', '/teams/560936')",W 72-56,"('404', None)",3984014
02/29/2024,"('Denver', '/teams/560717')",L 60-74,"('771', None)",3984320
03/02/2024,"('Oral Roberts', '/teams/561003')",L 56-94,"('605', None)",3984522
03/08/2024,"('#9 Omaha @Sioux Falls, SD (23-24 WBB Summit League Tournament)', '/teams/560936')",L 55-61,"('7,611', None)",5250276
11/06/2023,"('@ Florida', '/teams/560757')",L 65-82,"('1,112', None)",3970197
11/09/2023,"('Trinity Baptist', None)",W 116-44,"('2,200', None)",3970494
11/13/2023,"('Fla. Atlantic', '/teams/560751')",L 75-84 (1 OT),"('599', None)",3971277
11/15/2023,"('@ Gonzaga', '/teams/560776')",L 55-83,"('4,845', None)",3971431
11/19/2023,"('@ South Fla.', '/teams/561095')",L 55-56,"('4,534', None)",3972256
11/24/2023,"('@ Ga. Southern 23-24 WBB GATA Turkey Throwdown', '/teams/560768')",L 75-85,"('459', None)",3972770
11/25/2023,"('USC Upstate @Statesboro, GA (23-24 WBB GATA Turkey Throwdown)', '/teams/560551')",L 60-73,"('100', None)",3972835
11/29/2023,"('Warner', None)",W 68-51,"('319', None)",3973433
12/02/2023,"(""@ Saint Joseph's"", '/teams/561060')",L 65-84,"('517', None)",3973744
12/04/2023,"('@ Coppin St.', '/teams/560697')",W 49-43,"('3,552', None)",3974154
12/13/2023,"('Piedmont', '/teams/562506')",W 105-66,"('101', None)",3975158
12/16/2023,"('@ Kansas St.', '/teams/560829')",L 53-79,"('3,419', None)",3975466
12/20/2023,"('Winthrop', '/teams/561223')",W 55-49,"('283', None)",3975851
12/29/2023,"('Florida A&M', '/teams/560749')",W 76-71 (1 OT),"('559', None)",3976186
01/04/2024,"('Stetson', '/teams/561128')",L 57-61,"('329', None)",3976960
01/06/2024,"('FGCU', '/teams/560561')",L 38-70,"('346', None)",3977271
01/11/2024,"('@ Kennesaw St.', '/teams/561250')",L 43-52,"('506', None)",3977849
01/13/2024,"('@ Queens (NC)', '/teams/561260')",W 76-57,"('144', None)",3978324
01/25/2024,"('Bellarmine', '/teams/561171')",L 63-69,"('346', None)",3979974
01/27/2024,"('Eastern Ky.', '/teams/560737')",L 56-79,"('467', None)",3980277
02/01/2024,"('@ North Ala.', '/teams/560572')",L 51-60,"('1,117', None)",3980947
02/03/2024,"('@ Central Ark.', '/teams/561240')",L 44-58,"('722', None)",3981290
02/07/2024,"('Austin Peay', '/teams/560605')",W 52-50,"('396', None)",3981811
02/10/2024,"('@ Lipscomb', '/teams/560559')",L 82-94 (2 OT),"('563', None)",3982304
02/15/2024,"('Jacksonville', '/teams/560825')",L 60-77,"('456', None)",3979279
02/17/2024,"('@ Jacksonville', '/teams/560825')",L 60-73,"('317', None)",3983091
02/22/2024,"('Queens (NC)', '/teams/561260')",L 72-77,"('319', None)",3983746
02/24/2024,"('Kennesaw St.', '/teams/561250')",W 91-84 (2 OT),"('335', None)",3983927
02/29/2024,"('@ FGCU', '/teams/560561')",L 33-75,"('1,830', None)",3984328
03/02/2024,"('@ Stetson', '/teams/561128')",L 56-59,"('431', None)",3984389
11/07/2023,"('Our Lady of the Lake', None)",W 68-40,"('557', None)",3970333
11/12/2023,"('New Mexico St.', '/teams/560946')",L 52-59,"('103', None)",3971166
11/15/2023,"('@ TCU', '/teams/561148')",L 55-61,"('4,754', None)",3971454
11/19/2023,"('UTRGV', '/teams/561011')",W 67-57,"('261', None)",3972242
