teamName1,teamId1,teamName2,teamId2,gameId,date
Our Lady of the Lake,,UIW,560549,3970333,2023-11-07
BYU,560627,Montana St.,560912,3970332,2023-11-07
St. Thomas(TX),562119,A&M-Corpus Christi,560556,3970334,2023-11-07
Bucknell,560634,Penn St.,561013,3954316,2023-11-07
Cleveland St.,560681,Bowling Green,560623,3970327,2023-11-07
Sacred Heart,561051,Rhode Island,561039,3970328,2023-11-07
Hofstra,560788,VCU,561193,3970340,2023-11-07
Apprentice,,UNCW,560932,3970336,2023-11-07
Florida A&M,560749,Tennessee,561142,3970343,2023-11-07
Warner,,Jacksonville,560825,3970344,2023-11-07
Lipscomb,560559,Evansville,560743,3970338,2023-11-07
LeMoyne-Owen,561730,Jackson St.,560821,3970329,2023-11-07
Southeast Mo. St.,561097,Southern Ill.,561103,3970331,2023-11-07
Yale,561236,Pittsburgh,561019,3970354,2023-11-07
Loyola Maryland,560858,West Virginia,561209,3970353,2023-11-07
UTRGV,561011,Texas Tech,561151,3970341,2023-11-07
Morehead St.,560916,Illinois,560805,3954568,2023-11-07
Lafayette,560839,Syracuse,561132,3970356,2023-11-07
Rider,561045,Saint Joseph's,561060,3970355,2023-11-07
UNC Asheville,560925,Furman,560760,3970330,2023-11-07
ETSU,560730,Kentucky,560835,3970345,2023-11-07
Charlotte,560928,NC State,560962,3970346,2023-11-07
USC Upstate,560551,Davidson,560706,3970348,2023-11-07
Cornell,560698,Colgate,560686,3970349,2023-11-07
Hampton,560779,Providence,561030,3970350,2023-11-07
Iona,560814,Seton Hall,561079,3970352,2023-11-07
Milwaukee,561229,Wisconsin,561227,3954148,2023-11-07
ULM,560971,Arkansas,560599,3970351,2023-11-07
UC Irvine,560660,Pepperdine,561017,3970335,2023-11-07
San Francisco,561073,UC Santa Barbara,560653,3970347,2023-11-07
New Orleans,560950,Oklahoma St.,560997,3970364,2023-11-08
Presbyterian,561252,Wichita St.,561219,3970358,2023-11-08
LIFE Pacific,,UC San Diego,560566,3970464,2023-11-08
Norfolk St.,560957,Drexel,560722,3970359,2023-11-08
Allen,561792,Ga. Southern,560768,3970337,2023-11-08
St. Bonaventure,561053,Niagara,560952,3970400,2023-11-08
Xavier,561234,Youngstown St.,561237,3970431,2023-11-08
Oakland,560991,Michigan St.,560894,3954415,2023-11-08
UMES,560878,Virginia,561198,3970442,2023-11-08
Toledo,561161,James Madison,560827,3970444,2023-11-08
Gettysburg,562316,UMBC,560874,3970450,2023-11-08
Gardner-Webb,561246,North Carolina,560927,3970459,2023-11-08
Nicholls,560954,Tulane,561167,3970395,2023-11-08
Dayton,560708,UConn,560694,3970461,2023-11-08
Susquehanna,562628,Navy,561180,3970419,2023-11-08
Texas Col.,,Lamar University,560841,3970396,2023-11-08
Tex. A&M-Kingsville,561624,TCU,561148,3970434,2023-11-08
Northwestern St.,560986,Kansas,560831,3970433,2023-11-08
LIU,560846,Minnesota,560900,3954236,2023-11-08
Le Moyne,561728,Colorado,560690,3970428,2023-11-08
Southern U.,561111,Texas,561155,3970437,2023-11-08
St. Mary (NE),,Omaha,560936,3970473,2023-11-08
Eastern Wash.,560741,Southern Utah,561114,3970361,2023-11-08
Biola,561537,Long Beach St.,560648,3970365,2023-11-08
Cal Poly,560640,Idaho,560801,3970403,2023-11-08
Park (AZ),,Idaho St.,560799,3970362,2023-11-08
Ark.-Pine Bluff,561256,Oregon,561007,3970430,2023-11-08
Santa Clara,561076,California,560656,3970469,2023-11-08
Hawaii,560786,Stanford,561123,3970455,2023-11-08
