,Quarter,text,team,gameID,Date,Player,WL
3,1,"Ifunanya Nwachukwu, jumpball lost",Kansas City,3970221,11/06/2023,Ifunanya Nwachukwu,jumpball lost
4,1,"Daija Powell, jumpball won",Bradley,3970221,11/06/2023,Daija Powell,jumpball won
3,1,"Ifunanya Nwachukwu, jumpball won",Kansas City,3970806,11/11/2023,Ifunanya Nwachukwu,jumpball won
4,1,"Jane Asinde, jumpball lost",UTEP,3970806,11/11/2023,Jane Asinde,jumpball lost
3,1,"Ifunanya Nwachukwu, jumpball won",Kansas City,3971414,11/14/2023,Ifunanya Nwachukwu,jumpball won
4,1,"Tiairra Hill-Brown, jumpball lost",Utah St.,3971414,11/14/2023,Tiairra Hill-Brown,jumpball lost
3,1,"Taiyanna Jackson, jumpball lost",Kansas,3972102,11/18/2023,Taiyanna Jackson,jumpball lost
4,1,"Ifunanya Nwachukwu, jumpball won",Kansas City,3972102,11/18/2023,Ifunanya Nwachukwu,jumpball won
3,1,"Emani Bennett, jumpball lost",Kansas City,3972603,11/22/2023,Emani Bennett,jumpball lost
4,1,"Josie Hill, jumpball won",Chicago St.,3972603,11/22/2023,Josie Hill,jumpball won
3,1,"Cur'Tiera Haywood, jumpball won",Austin Peay,3972692,11/24/2023,Cur'Tiera Haywood,jumpball won
4,1,"Emani Bennett, jumpball lost",Kansas City,3972692,11/24/2023,Emani Bennett,jumpball lost
3,1,"Emani Bennett, jumpball won",Kansas City,3972987,11/25/2023,Emani Bennett,jumpball won
4,1,"Jordana Reisma, jumpball lost",Cleveland St.,3972987,11/25/2023,Jordana Reisma,jumpball lost
3,1,"Melodie Kapinga, jumpball lost",Arkansas St.,3973950,12/02/2023,Melodie Kapinga,jumpball lost
4,1,"Kelby Bannerman, jumpball won",Kansas City,3973950,12/02/2023,Kelby Bannerman,jumpball won
3,1,"Kelby Bannerman, jumpball won",Kansas City,3974353,12/06/2023,Kelby Bannerman,jumpball won
4,1,"Kaylee Denker, jumpball lost",Bellevue,3974353,12/06/2023,Kaylee Denker,jumpball lost
3,1,"Kelby Bannerman, jumpball won",Kansas City,3974991,12/10/2023,Kelby Bannerman,jumpball won
4,1,"Raegan McCowan, jumpball lost",Western Ill.,3974991,12/10/2023,Raegan McCowan,jumpball lost
3,1,"Kelby Bannerman, jumpball won",Kansas City,3975220,12/14/2023,Kelby Bannerman,jumpball won
4,1,"Jayla Cody, jumpball lost",Alabama A&M,3975220,12/14/2023,Jayla Cody,jumpball lost
3,1,"Kelby Bannerman, jumpball won",Kansas City,3975680,12/18/2023,Kelby Bannerman,jumpball won
4,1,"Laura Guillamat-Ribo, jumpball lost",Kansas Christian,3975680,12/18/2023,Laura Guillamat-Ribo,jumpball lost
3,1,"Hannah Linthacum, jumpball lost",Missouri,3976027,12/21/2023,Hannah Linthacum,jumpball lost
4,1,"Kelby Bannerman, jumpball won",Kansas City,3976027,12/21/2023,Kelby Bannerman,jumpball won
3,1,"Jocelyn Ewell, jumpball lost",Kansas City,3976191,12/29/2023,Jocelyn Ewell,jumpball lost
4,1,"Ruthie Udoumoh, jumpball won",Oral Roberts,3976191,12/29/2023,Ruthie Udoumoh,jumpball won
3,1,"Emani Bennett, jumpball won",Kansas City,3976532,12/31/2023,Emani Bennett,jumpball won
4,1,"Jo Langbehn, jumpball lost",St. Thomas (MN),3976532,12/31/2023,Jo Langbehn,jumpball lost
3,1,"Rhema Ogele, jumpball won",Portland St.,3976821,01/03/2024,Rhema Ogele,jumpball won
4,1,"Ifunanya Nwachukwu, jumpball lost",Kansas City,3976821,01/03/2024,Ifunanya Nwachukwu,jumpball lost
3,1,"Ifunanya Nwachukwu, jumpball won",Kansas City,3977098,01/06/2024,Ifunanya Nwachukwu,jumpball won
4,1,"Amelia Raidaveta, jumpball lost",Weber St.,3977098,01/06/2024,Amelia Raidaveta,jumpball lost
3,1,"Jocelyn Ewell, jumpball won",Kansas City,3977961,01/11/2024,Jocelyn Ewell,jumpball won
4,1,"Elle Evans, jumpball lost",North Dakota St.,3977961,01/11/2024,Elle Evans,jumpball lost
3,1,"Kiera Pemberton, jumpball won",North Dakota,3978144,01/13/2024,Kiera Pemberton,jumpball won
4,1,"Tamia Ugass, jumpball lost",Kansas City,3978144,01/13/2024,Tamia Ugass,jumpball lost
3,1,"Kelby Bannerman, jumpball won",Kansas City,3979370,01/20/2024,Kelby Bannerman,jumpball won
4,1,"Deanay Watson, jumpball lost",Omaha,3979370,01/20/2024,Deanay Watson,jumpball lost
3,1,"Kelby Bannerman, jumpball won",Kansas City,3979995,01/25/2024,Kelby Bannerman,jumpball won
4,1,"Brooklyn Meyer, jumpball lost",South Dakota St.,3979995,01/25/2024,Brooklyn Meyer,jumpball lost
3,1,"Kelby Bannerman, jumpball won",Kansas City,3980365,01/27/2024,Kelby Bannerman,jumpball won
4,1,"Tori DePerry, jumpball lost",South Dakota,3980365,01/27/2024,Tori DePerry,jumpball lost
5,1,"Kelby Bannerman, jumpball won",Kansas City,3980985,02/01/2024,Kelby Bannerman,jumpball won
6,1,"Makayla Minett, jumpball lost",Denver,3980985,02/01/2024,Makayla Minett,jumpball lost
3,1,"Jo Langbehn, jumpball won",St. Thomas (MN),3981135,02/03/2024,Jo Langbehn,jumpball won
4,1,"Elauni Bennett, jumpball lost",Kansas City,3981135,02/03/2024,Elauni Bennett,jumpball lost
3,1,"Elle Evans, jumpball won",North Dakota St.,3982013,02/08/2024,Elle Evans,jumpball won
4,1,"Elauni Bennett, jumpball lost",Kansas City,3982013,02/08/2024,Elauni Bennett,jumpball lost
3,1,"Ifunanya Nwachukwu, jumpball won",Kansas City,3982408,02/10/2024,Ifunanya Nwachukwu,jumpball won
4,1,"Kiera Pemberton, jumpball lost",North Dakota,3982408,02/10/2024,Kiera Pemberton,jumpball lost
3,1,"Ifunanya Nwachukwu, jumpball won",Kansas City,3982989,02/15/2024,Ifunanya Nwachukwu,jumpball won
4,1,"Brooklyn Meyer, jumpball lost",South Dakota St.,3982989,02/15/2024,Brooklyn Meyer,jumpball lost
3,1,"Kelby Bannerman, jumpball won",Kansas City,3983764,02/22/2024,Kelby Bannerman,jumpball won
4,1,"Carley Duffney, jumpball lost",South Dakota,3983764,02/22/2024,Carley Duffney,jumpball lost
3,1,"Deanay Watson, jumpball won",Omaha,3984014,02/24/2024,Deanay Watson,jumpball won
4,1,"Tamia Ugass, jumpball lost",Kansas City,3984014,02/24/2024,Tamia Ugass,jumpball lost
3,1,"Makayla Minett, jumpball won",Denver,3984320,02/29/2024,Makayla Minett,jumpball won
