#,Name,P,MP,GS,FGM,FGA,3FG,3FGA,FT,FTA,PTS,ORebs,DRebs,Tot Reb,AST,TO,STL,BLK,PF,DQ,Tech Fouls,teamId,opponentId,gameId
23.0,Rusne Augustinaite,G,12:45,,2,10,0,7,0,0,4,0,0,0,0,0,0,1,1,0,0,591757,591958,5722020
13.0,Kayla Blackshear,F,24:32,,4,5,0,0,0,0,8,3,4,7,0,2,0,1,2,0,0,591757,591958,5722020
3.0,Dani Carnegie,G,17:51,,6,10,4,6,1,1,17,2,2,4,1,3,2,0,0,0,0,591757,591958,5722020
25.0,Kara Dunn,G,15:12,,0,4,0,2,2,2,2,2,6,8,1,3,1,0,3,0,0,591757,591958,5722020
27.0,Gabbie Grooms,G,9:29,,2,2,1,1,0,0,5,0,2,2,1,0,0,0,1,0,0,591757,591958,5722020
5.0,Tonie Morgan,G,24:01,,7,10,1,3,0,0,15,0,4,4,6,1,0,0,0,0,0,591757,591958,5722020
22.0,Ines Noguero,G,15:40,,5,7,0,0,1,2,11,1,1,2,2,2,4,2,2,0,0,591757,591958,5722020
0.0,Zoesha Smith,F,19:41,,1,2,0,0,0,0,2,0,2,2,0,0,2,0,2,0,0,591757,591958,5722020
20.0,Ariadna Termis,C,23:55,,5,8,1,2,0,0,11,1,2,3,6,1,1,0,3,0,0,591757,591958,5722020
35.0,Tianna Thompson,G,13:11,,1,4,0,2,2,2,4,1,0,1,2,1,0,0,1,0,0,591757,591958,5722020
1.0,Chazadi Wright,G,23:43,,2,3,2,3,0,0,6,1,3,4,6,1,2,0,0,0,0,591757,591958,5722020
22.0,Nuria Cunill,F,13:28,,3,4,0,0,2,2,8,0,3,3,0,1,1,0,1,0,0,591958,591757,5722020
25.0,Konner Gambrell,F,11:19,,1,2,0,0,0,0,2,1,4,5,0,2,0,0,1,0,0,591958,591757,5722020
4.0,Marissa Gasaway,F,13:12,,3,6,0,0,0,2,6,2,1,3,1,0,0,0,0,0,0,591958,591757,5722020
7.0,Ciara Harris,G,14:58,,0,5,0,4,0,0,0,0,0,0,0,3,0,0,2,0,0,591958,591757,5722020
3.0,Ronaltha Marc,G,27:19,,3,9,0,0,1,1,7,1,0,1,0,3,1,0,1,0,0,591958,591757,5722020
5.0,Prunelle Mungo,C,2:01,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,591958,591757,5722020
11.0,Blessing Okoh,F,10:11,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,591958,591757,5722020
12.0,Leonor Paisana,G,22:47,,1,5,0,1,0,0,2,0,0,0,1,0,1,0,3,0,0,591958,591757,5722020
13.0,Mya Pierfax,G,16:49,,1,4,0,0,0,0,2,0,0,0,0,2,1,0,2,0,0,591958,591757,5722020
15.0,Amourie Porter,G,23:05,,6,8,0,1,0,0,12,1,2,3,1,1,1,1,1,0,0,591958,591757,5722020
0.0,Ar'Mani Reid,G,13:43,,0,2,0,0,0,0,0,0,1,1,0,2,0,1,0,0,0,591958,591757,5722020
1.0,Olivia Wagner,G,26:18,,0,6,0,4,0,0,0,0,0,0,2,3,0,0,0,0,0,591958,591757,5722020
21.0,Persais Williams,G,4:50,,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,591958,591757,5722020
15.0,Sydney Barker,G,6:54,,1,1,0,0,0,0,2,0,1,1,1,0,0,0,1,0,0,591825,591683,5735259
14.0,Trayanna Crisp,G,14:21,,4,6,1,3,2,2,11,0,0,0,3,0,2,0,3,0,0,591825,591683,5735259
20.0,Lexi Donarski,G,26:18,,6,11,2,6,0,0,14,1,1,2,1,0,1,0,2,0,0,591825,591683,5735259
5.0,Maria Gakdeng,C,17:31,,2,3,0,0,0,0,4,2,5,7,1,3,1,0,2,0,0,591825,591683,5735259
0.0,Lanie Grant,G,13:42,,1,5,0,2,2,2,4,2,0,2,2,0,0,1,2,0,0,591825,591683,5735259
4.0,Laila Hull,G,12:30,,2,4,1,2,0,0,5,1,2,3,2,0,1,0,0,0,0,591825,591683,5735259
10.0,Reniya Kelly,G,22:37,,4,10,1,2,0,0,9,2,1,3,3,0,1,1,1,0,0,591825,591683,5735259
34.0,Blanca Thomas,C,15:34,,4,6,0,0,0,0,8,4,2,6,2,1,1,1,1,0,0,591825,591683,5735259
21.0,Ciera Toomey,F,13:43,,0,5,0,3,0,2,0,1,4,5,1,0,0,0,1,0,0,591825,591683,5735259
2.0,Grace Townsend,G,19:09,,2,5,0,3,2,2,6,0,3,3,2,2,2,0,0,0,0,591825,591683,5735259
1.0,Alyssa Ustby,G,24:27,,8,15,1,3,1,1,18,4,4,8,5,3,0,2,2,0,0,591825,591683,5735259
3.0,Jordan Zubich,G,13:14,,1,5,0,4,0,0,2,0,1,1,0,1,1,1,2,0,0,591825,591683,5735259
20.0,Madison Adamson,F,27:44,,0,7,0,1,1,4,1,2,1,3,1,2,0,0,0,0,0,591683,591825,5735259
1.0,Catherine Alben,G,28:15,,6,11,2,5,4,6,18,0,1,1,1,2,0,0,1,0,0,591683,591825,5735259
