,poss,1,-1,2,-2,3,-3,4,-4,5,-5,6,-6,7,-7,8,-8,9,-9,10,-10,11,-11,12,-12,13,-13,14,-14,15,-15,16,-16,17,-17,18,-18,19,-19
Lauren Davenport,63.0,1.0,1.0,2.0,4.0,15.0,21.0,9.0,13.0,8.0,11.0,7.0,5.0,8.0,11.0,7.0,7.0,29.0,21.0,32.0,32.0,,2.0,8.0,12.0,20.0,10.0,3.0,3.0,20.0,32.0,20.0,32.0,2.0,3.0,16.0,12.0,4.0,2.0
Lauren Gustin,69.0,1.0,1.0,1.0,4.0,14.0,25.0,12.0,10.0,10.0,14.0,8.0,6.0,10.0,14.0,8.0,9.0,29.0,23.0,35.0,35.0,,2.0,9.0,13.0,21.0,11.0,3.0,2.0,21.0,39.0,21.0,39.0,3.0,4.0,17.0,13.0,5.0,3.0
Kaylee Smiler,75.0,1.0,1.0,2.0,4.0,15.0,28.0,13.0,13.0,13.0,14.0,7.0,5.0,9.0,13.0,8.0,9.0,35.0,27.0,40.0,40.0,,2.0,10.0,13.0,21.0,11.0,3.0,3.0,24.0,41.0,24.0,41.0,3.0,4.0,18.0,14.0,7.0,3.0
Amari Whiting,58.0,1.0,1.0,,3.0,10.0,19.0,7.0,11.0,11.0,10.0,6.0,5.0,8.0,11.0,6.0,6.0,27.0,16.0,34.0,34.0,,1.0,7.0,11.0,18.0,8.0,2.0,2.0,20.0,31.0,20.0,31.0,2.0,4.0,16.0,12.0,5.0,3.0
Kailey Woolston,74.0,1.0,1.0,2.0,4.0,15.0,26.0,12.0,13.0,13.0,14.0,8.0,6.0,10.0,14.0,8.0,8.0,34.0,24.0,36.0,36.0,,2.0,10.0,13.0,22.0,12.0,3.0,3.0,22.0,41.0,22.0,41.0,2.0,4.0,17.0,11.0,5.0,3.0
Lexi Deden,48.5,1.0,1.0,2.0,1.0,20.0,9.0,8.0,8.0,7.0,10.0,2.0,4.0,7.0,6.0,6.0,5.0,18.0,23.0,29.0,29.0,2.0,,6.0,7.0,9.0,13.0,1.0,1.0,29.0,21.0,29.0,21.0,3.0,2.0,8.0,13.0,1.0,6.0
Marah Dykstra,48.0,1.0,1.0,3.0,1.0,20.0,11.0,10.0,7.0,10.0,9.0,3.0,4.0,8.0,6.0,6.0,6.0,16.0,27.0,22.0,22.0,1.0,,11.0,2.0,2.0,16.0,1.0,2.0,25.0,14.0,25.0,14.0,4.0,1.0,8.0,8.0,3.0,4.0
Madison Hall,51.5,1.0,1.0,3.0,2.0,19.0,10.0,10.0,9.0,9.0,10.0,2.0,5.0,9.0,7.0,6.0,6.0,16.0,26.0,27.0,27.0,1.0,,9.0,7.0,7.0,15.0,1.0,3.0,30.0,15.0,30.0,15.0,4.0,1.0,8.0,16.0,3.0,3.0
Katelynn Limardo,50.5,1.0,1.0,2.0,1.0,22.0,11.0,9.0,6.0,7.0,10.0,2.0,3.0,6.0,5.0,6.0,6.0,17.0,27.0,31.0,31.0,2.0,,10.0,5.0,6.0,15.0,1.0,2.0,25.0,18.0,25.0,18.0,3.0,3.0,14.0,12.0,2.0,6.0
Natalie Picton,64.0,1.0,1.0,4.0,1.0,26.0,12.0,12.0,10.0,9.0,10.0,5.0,7.0,10.0,9.0,9.0,8.0,21.0,32.0,37.0,37.0,2.0,,11.0,7.0,9.0,20.0,3.0,2.0,36.0,22.0,36.0,22.0,4.0,3.0,12.0,16.0,3.0,6.0
Taylor Janssen,39.5,,,1.0,2.0,10.0,6.0,7.0,8.0,8.0,7.0,5.0,4.0,9.0,4.0,4.0,2.0,15.0,14.0,19.0,19.0,,,7.0,7.0,8.0,12.0,2.0,1.0,19.0,14.0,19.0,14.0,1.0,2.0,6.0,6.0,1.0,3.0
Isobel Bunyan,44.5,,,2.0,2.0,12.0,9.0,6.0,8.0,9.0,6.0,6.0,6.0,10.0,6.0,4.0,3.0,16.0,15.0,20.0,20.0,1.0,,7.0,9.0,11.0,13.0,3.0,1.0,26.0,12.0,26.0,12.0,1.0,1.0,5.0,9.0,1.0,3.0
Malea Egan,23.0,,,1.0,,6.0,5.0,2.0,4.0,9.0,3.0,2.0,3.0,8.0,3.0,3.0,2.0,8.0,6.0,9.0,9.0,1.0,,4.0,4.0,5.0,5.0,1.0,3.0,12.0,4.0,12.0,4.0,,1.0,4.0,5.0,1.0,1.0
Emma Calvert,23.0,,,1.0,1.0,2.0,9.0,7.0,3.0,6.0,6.0,3.0,2.0,3.0,6.0,1.0,3.0,10.0,11.0,12.0,12.0,,,3.0,2.0,3.0,3.0,1.0,2.0,8.0,14.0,8.0,14.0,1.0,1.0,2.0,2.0,3.0,1.0
Rose Bubakar,22.0,,,2.0,,4.0,12.0,5.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,11.0,12.0,14.0,14.0,,1.0,3.0,1.0,5.0,5.0,,,9.0,12.0,9.0,12.0,2.0,,3.0,5.0,5.0,
Brooke Berry,11.0,,,1.0,,4.0,1.0,1.0,4.0,1.0,,2.0,2.0,2.0,2.0,1.0,1.0,7.0,4.0,9.0,9.0,,,,1.0,2.0,1.0,1.0,,6.0,5.0,6.0,5.0,,1.0,3.0,3.0,,3.0
Heather Hamson,1.0,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,,,,,,,,,1.0,,1.0,,,,1.0,1.0,1.0,
Drea Brumfield,4.5,,,1.0,,1.0,1.0,,1.0,1.0,,1.0,2.0,1.0,2.0,,1.0,1.0,1.0,2.0,2.0,,,,1.0,1.0,,1.0,,2.0,,2.0,,,,2.0,2.0,,
Caroline Dingler,70.0,1.0,1.0,2.0,6.0,17.0,9.0,11.0,13.0,11.0,20.0,6.0,11.0,11.0,21.0,7.0,7.0,17.0,26.0,27.0,27.0,2.0,,9.0,11.0,22.0,17.0,3.0,,22.0,50.0,22.0,50.0,2.0,2.0,11.0,12.0,5.0,3.0
Isabella King,53.5,1.0,1.0,1.0,5.0,13.0,8.0,10.0,9.0,7.0,15.0,5.0,9.0,9.0,13.0,4.0,6.0,13.0,21.0,20.0,20.0,1.0,,6.0,10.0,17.0,14.0,2.0,,18.0,36.0,18.0,36.0,1.0,1.0,7.0,6.0,2.0,2.0
Ashley O'Connor,52.5,1.0,1.0,2.0,5.0,14.0,9.0,7.0,7.0,10.0,19.0,1.0,7.0,5.0,16.0,6.0,4.0,12.0,17.0,18.0,18.0,2.0,,6.0,12.0,20.0,12.0,3.0,,16.0,30.0,16.0,30.0,1.0,2.0,7.0,6.0,2.0,
Grace Sullivan,44.0,1.0,1.0,2.0,3.0,11.0,8.0,10.0,7.0,7.0,12.0,2.0,6.0,4.0,11.0,4.0,3.0,14.0,18.0,12.0,12.0,2.0,,6.0,7.0,13.0,13.0,2.0,,14.0,32.0,14.0,32.0,1.0,,6.0,1.0,1.0,2.0
Emma Theodorsson,50.5,1.0,1.0,2.0,6.0,14.0,8.0,6.0,9.0,9.0,16.0,5.0,7.0,8.0,15.0,6.0,6.0,12.0,16.0,19.0,19.0,2.0,,6.0,8.0,17.0,12.0,3.0,,12.0,32.0,12.0,32.0,1.0,1.0,7.0,8.0,2.0,1.0
Ali Brigham,32.5,1.0,1.0,2.0,1.0,6.0,7.0,7.0,7.0,10.0,3.0,4.0,,8.0,3.0,4.0,1.0,14.0,10.0,9.0,9.0,,2.0,6.0,6.0,9.0,13.0,,2.0,20.0,13.0,20.0,13.0,1.0,1.0,2.0,2.0,1.0,1.0
Shay Ciezki,49.0,1.0,1.0,4.0,2.0,9.0,9.0,9.0,9.0,15.0,8.0,8.0,3.0,12.0,8.0,6.0,3.0,17.0,14.0,18.0,18.0,,2.0,9.0,5.0,11.0,17.0,,2.0,34.0,15.0,34.0,15.0,1.0,1.0,6.0,5.0,2.0,2.0
Leilani Kapinus,46.5,1.0,1.0,3.0,2.0,9.0,10.0,7.0,7.0,16.0,8.0,2.0,3.0,11.0,5.0,4.0,3.0,17.0,13.0,21.0,21.0,,2.0,6.0,7.0,13.0,15.0,,3.0,28.0,14.0,28.0,14.0,1.0,1.0,8.0,6.0,1.0,3.0
Makenna Marisa,45.5,1.0,1.0,3.0,2.0,9.0,8.0,7.0,8.0,14.0,6.0,8.0,3.0,12.0,6.0,3.0,1.0,17.0,14.0,11.0,11.0,,2.0,9.0,6.0,9.0,17.0,,2.0,29.0,14.0,29.0,14.0,1.0,1.0,4.0,3.0,1.0,2.0
Taylor Valladay,40.0,1.0,1.0,3.0,1.0,7.0,9.0,6.0,7.0,14.0,5.0,3.0,2.0,10.0,4.0,4.0,3.0,16.0,11.0,18.0,18.0,,1.0,6.0,7.0,10.0,14.0,,2.0,27.0,11.0,27.0,11.0,1.0,,9.0,5.0,2.0,3.0
Chanaya Pinto,37.0,,,3.0,,3.0,9.0,5.0,6.0,11.0,6.0,8.0,2.0,12.0,5.0,3.0,6.0,13.0,6.0,16.0,16.0,,,10.0,4.0,8.0,13.0,,,25.0,13.0,25.0,13.0,2.0,1.0,8.0,7.0,1.0,4.0
Kylie Lavelle,37.0,,,2.0,1.0,4.0,7.0,6.0,5.0,10.0,6.0,7.0,6.0,12.0,7.0,3.0,3.0,12.0,8.0,13.0,13.0,,,8.0,4.0,8.0,11.0,,1.0,25.0,10.0,25.0,10.0,1.0,1.0,7.0,6.0,1.0,3.0
Alli Campbell,2.0,,,,,,,,1.0,1.0,,1.0,,1.0,,,,1.0,,,,,,1.0,,,1.0,,,1.0,,1.0,,,,,,,
Jayla Oden,34.5,,,2.0,,2.0,9.0,6.0,5.0,10.0,5.0,6.0,2.0,12.0,5.0,6.0,4.0,12.0,5.0,16.0,16.0,,,10.0,4.0,11.0,12.0,,2.0,27.0,13.0,27.0,13.0,,2.0,5.0,8.0,2.0,2.0
Ashley Sofilkanich,25.5,,,,3.0,6.0,2.0,2.0,5.0,4.0,8.0,3.0,4.0,5.0,9.0,2.0,3.0,5.0,9.0,14.0,14.0,,,2.0,4.0,9.0,4.0,1.0,,7.0,20.0,7.0,20.0,,1.0,5.0,8.0,3.0,1.0
Julie Kulesza,27.0,,,,1.0,5.0,3.0,4.0,3.0,1.0,8.0,3.0,4.0,3.0,7.0,,3.0,6.0,11.0,10.0,10.0,,,4.0,7.0,10.0,8.0,1.0,,9.0,23.0,9.0,23.0,,,6.0,3.0,2.0,2.0
Moriah Murray,39.0,,,5.0,1.0,4.0,14.0,7.0,5.0,10.0,6.0,7.0,5.0,13.0,6.0,4.0,7.0,15.0,7.0,14.0,14.0,,1.0,6.0,5.0,10.0,11.0,,1.0,25.0,15.0,25.0,15.0,2.0,1.0,7.0,8.0,1.0,3.0
Grace Hall,24.5,,,3.0,,2.0,8.0,5.0,5.0,4.0,2.0,6.0,4.0,7.0,6.0,3.0,4.0,11.0,7.0,9.0,9.0,,,4.0,2.0,6.0,6.0,,,24.0,7.0,24.0,7.0,,1.0,4.0,5.0,3.0,2.0
Kaylee Reinbeau,27.0,,,,,4.0,3.0,7.0,4.0,2.0,7.0,1.0,5.0,3.0,7.0,1.0,2.0,7.0,13.0,10.0,10.0,,,4.0,7.0,9.0,7.0,,,13.0,21.0,13.0,21.0,1.0,1.0,4.0,4.0,3.0,2.0
