GP,GS,#,Name,Class,Position,Height,Hometown,High School,team,teamID
30,14,24,Zaire Harrell,So.,G,5-8,"Saint Louis, MO",Mary Institute and Saint Louis County Day School,Kansas City,560547
30,15,41,Jocelyn Ewell,Sr.,F,6-2,"Mission Viejo, CA",Santa Margarita Catholic,Kansas City,560547
28,6,5,Tamia Ugass,Jr.,F,6-3,"Saint Paul, MN",Roseville Area,Kansas City,560547
32,22,0,Emani Bennett,Fr.,G,5-11,"Lees Summit, MO",Lee's Summit North,Kansas City,560547
27,12,11,Kelby Bannerman,So.,F,6-1,"Hampshire, IL",Hampshire,Kansas City,560547
20,0,1,Raychel Jones,Fr.,G,5-7,"Saint Louis, MO",Vashon,Kansas City,560547
31,7,2,Elauni Bennett,Fr.,G,5-9,"Lees Summit, MO",Lee's Summit North,Kansas City,560547
30,13,21,Lisa Thomas,Jr.,G,5-5,"Kansas City, MO",Center,Kansas City,560547
31,17,4,Dominique Phillips,Sr.,F,5-10,"Goodyear, AZ",Millennium,Kansas City,560547
21,1,44,Zanaa Cordis,Jr.,F,6-3,"Junction City, KS",Manhattan,Kansas City,560547
24,8,13,Ifunanya Nwachukwu,Sr.,F,6-2,"Lagos, Nigeria",Topfield College,Kansas City,560547
31,11,3,Alayna Contreras,So.,G,5-6,"Minneapolis, MN",Hopkins,Kansas City,560547
21,2,12,Dayshawna Carter,Jr.,G,5-7,"New York City, NY",Victory Collegiate,Kansas City,560547
32,32,10,Nariyah Simmons,Jr.,G,5-5,"Florissant, MO",Vashon,Kansas City,560547
30,1,2,Alexa Washington,Fr.,G,5-6,"Monroeville, PA",Oakland Catholic HS,North Florida,560548
7,0,1,Kirsten Clark,Fr.,G,5-9,"Indianapolis, IN",Ben Davis HS,North Florida,560548
30,17,4,Sarah Taub,So.,G,5-9,"Marietta, GA",Campbell HS,North Florida,560548
30,25,22,Lyric Swann,Sr.,G,5-5,"Elkridge, MD",Long Reach HS,North Florida,560548
30,21,13,Selma Eklund,Jr.,F,6-0,"Stockholm, Sweden",Solna Gymnasium,North Florida,560548
29,25,23,Kaila Rougier,Jr.,G,5-6,"Savannah, GA",Beach HS,North Florida,560548
29,1,5,Helena Rafnsdottir,So.,G,5-10,"Reykjanesbaer, Iceland",Sudurnes Comprehensive College,North Florida,560548
0,0,10,Maddie Millar,So.,G,5-9,"Amelia Island, FL",Bishop Kenny HS,North Florida,560548
11,0,21,Agnes Svansdottir,Fr.,G,6-0,"Keflavik, Iceland",Surdunes Comprehensive College,North Florida,560548
4,0,3,Tyra Brown,Fr.,F,6-2,"Fort Myers, FL",Fort Myers HS,North Florida,560548
30,30,24,Jayla Adams,Sr.,G,5-6,"Daytona Beach, FL",Spruce Creek HS,North Florida,560548
30,30,40,Emma Broermann,Sr.,F,6-3,"Okeana, OH",Badlin HS,North Florida,560548
23,0,11,Kyla Cain,Fr.,F,5-10,"Atlanta, GA",The Galloway School,North Florida,560548
11,0,4,Sophia Griego,So.,G,5-10,"Austin, TX",Vandegrift High School,UIW,560549
29,29,3,Nina De Leon Negron,Sr.,G,5-6,"San Juan, Puerto Rico",Montverde Academy,UIW,560549
5,0,12,Paloma Simón,So.,G,5-11,"Madrid, Spain",Colegio Estudiantes Las Tablas,UIW,560549
29,27,13,Chloe Storer,Sr.,F,6-0,"Wangaratta, Australia",,UIW,560549
25,0,0,Hanna Wheeler,Sr.,G,5-6,"Cedar Park, TX",,UIW,560549
27,5,11,Aliyah Collins,So.,G,5-3,"College Sta, TX",College Station High School,UIW,560549
19,0,22,Breelyn Sanborn,So.,F,5-11,"Spring, TX",Saint Pius X High School,UIW,560549
28,9,14,Brenna Perez,Sr.,F,6-0,"San Antonio, TX",,UIW,560549
29,19,5,Myra Bell,Sr.,G,5-10,"San Antonio, TX",Taft High School,UIW,560549
30,28,10,Destiny Terrell,Sr.,G,5-9,"Dallas, TX",,UIW,560549
30,29,32,Jorja Elliott,So.,G,5-11,"Hickory Creek, TX",Lake Dallas High School,UIW,560549
25,0,2,Kaylee Howell,So.,F,6-2,"Rockport, TX",Rockport-Fulton High School,UIW,560549
10,0,21,Mallory McQuietor,Fr.,F,6-1,"Keller, TX",Keller High School,UIW,560549
27,4,35,Raimi McCrary,Fr.,F,5-11,"Allen, TX",Allen High School,UIW,560549
0,0,24,Destiny Whitaker,Fr.,G,5-10,"Dallas, TX",Mansfield High School,UIW,560549
30,5,20,Indiya Clarke,So.,G,5-11,"Wasilla, AK",Cony,Wofford,560550
30,30,12,Rachael Rose,Jr.,G,5-7,"Scranton, PA",Scranton Prep,Wofford,560550
0,0,10,Libby Privett,So.,G,5-8,"Huntsville, AL",Madison Academy,Wofford,560550
28,1,0,Ja'Rae Smith,Sr.,G,5-6,"Piedmont, SC",Woodmont,Wofford,560550
0,0,5,Helen Matthews,Sr.,G,5-10,"Kaiapoi, New Zealand",Kaiapoi,Wofford,560550
30,30,1,Annabelle Schultz,Sr.,G,5-7,"Asheville, NC",Erwin,Wofford,560550
29,0,24,Sara Deidda,Fr.,G,5-11,"Zagreb, Croatia",Trgovacka škola Zagreb,Wofford,560550
30,30,3,Evangelia Paulk,Fr.,G,6-0,"Asheville, NC",Asheville,Wofford,560550
30,29,2,Maddie Heiss,Fr.,G,5-10,"Dallas, TX",Bishop Lynch,Wofford,560550
10,0,4,Yinka Kruyswijk,Fr.,F,6-2,"Amsterdam, Netherlands",International School of Amsterdam,Wofford,560550
0,0,21,Mia Flor,Jr.,F,6-2,"Missoula, MT",Kings,Wofford,560550
30,25,11,Vitolia Tuilave,Fr.,F,6-2,"Mount Maunganui, New Zealand",Mount Maunganui College,Wofford,560550
28,0,0,Zora Fray-Chinn,So.,G,5-11,"Orlando, FL",,USC Upstate,560551
30,29,1,Jeni Levine,So.,G,5-6,"Vinton, VA",Stauton River,USC Upstate,560551
0,0,34,Vera Soderblom,So.,F,6-0,"Gothenburg, Sweden",Lulea Gymnasieskola,USC Upstate,560551
8,0,12,Cali Levine,So.,G,5-6,"Vinton, VA",Stauton River,USC Upstate,560551
32,31,21,Rebekah Gordon,Jr.,F,6-1,"Lincoln City, IN",Heritage Hills,USC Upstate,560551
32,32,33,AC Markham,Jr.,F,5-10,"Murfreesboro, TN",Providence Christian Academy,USC Upstate,560551
15,0,2,Macy Wike,Fr.,G,5-9,"Cullowhee, NC",Asheville Christian Academy,USC Upstate,560551
31,29,14,Trinity Johnson,Sr.,G,5-7,"Hopkins, SC",,USC Upstate,560551
0,0,25,Cassie Gallagher,Fr.,G,5-11,"Cookeville, TN",Cookeville,USC Upstate,560551
31,6,22,Gracie Barnes,Fr.,G,5-9,"Cincinnati, OH",Cincinnati Country Day School,USC Upstate,560551
0,0,42,Emma Blair,Fr.,G,5-2,"Latrobe, PA",Greater Latrobe,USC Upstate,560551
32,32,3,Dakota Reeves,Sr.,G,5-7,"Cincinnati, OH",West Clermont High School,USC Upstate,560551
32,1,11,Isabell West,Sr.,G,6-1,"Shakopee, MN",Shakopee,USC Upstate,560551
8,0,23,Maggie Brown,Jr.,F,6-1,"Brentwood, TN",,USC Upstate,560551
4,0,45,Mae Afoa,So.,F,6-1,"Sandy, UT",Jordan,USC Upstate,560551
5,0,30,Caroline Bachus,Fr.,F,6-2,"Athens, AL",Athens HS,Belmont,560553
35,34,14,Kendal Cheesman,Jr.,F,6-2,"Tampa, FL",H.B. Plant HS,Belmont,560553
27,0,24,Kate Hollifield,So.,G,5-10,"Shelby, NC",Shelby HS,Belmont,560553
35,35,0,Tuti Jones,Jr.,G,5-7,"Troy, AL",Charles Henderson HS,Belmont,560553
35,35,22,Tessa Miller,Jr.,F,6-2,"Crossville, TN",Stone Memorial HS,Belmont,560553
33,33,12,Kilyn McGuff,Jr.,G,6-0,"Columbus, OH",Bishop Watterson HS,Belmont,560553
35,14,10,Blair Schoenwald,Sr.,G,5-8,"Brentwood, TN",Brentwood Academy,Belmont,560553
26,0,1,Kensley Feltner,Fr.,G,5-11,"Louisa, KY",Lawrence County HS,Belmont,560553
24,24,23,Jailyn Banks,Fr.,G,5-9,"Spring Hill, TN",Middle Tennessee Christian School,Belmont,560553
35,0,33,Carmyn Harrison,Jr.,F,6-2,"Memphis, TN",Hutchison School,Belmont,560553
19,0,13,Claire Hyde,So.,G,5-6,"Wheaton, IL",Wheaton North HS,Belmont,560553
9,0,4,Liz Suder,Jr.,G,5-8,"Leesburg, VA",Riverside HS,Belmont,560553
24,0,21,Emily La Chapell,So.,G,5-11,"Appleton, WI",Appleton East HS,Belmont,560553
32,9,3,Nevaeh Zavala,So.,F,6-0,"Plano, TX",Royse City,High Point,560554
23,13,14,Anna Hager,So.,G,6-0,"Gothenburg, Sweden",Lulea Gymnasieskola,High Point,560554
31,28,2,Nakyah Terrell,Jr.,G,5-6,"Canton, OH",Canton McKinley,High Point,560554
27,1,22,Shakira Baskerville,Jr.,G,6-1,"Clemmons, NC",West Forsyth,High Point,560554
19,11,5,Claire Wyatt,Sr.,G,6-1,"Knoxville, TN",Farragut,High Point,560554
31,20,1,Faith Price,Sr.,G,5-7,"Jamestown, NC",Ragsdale,High Point,560554
8,2,25,Aaliyah Collins,Jr.,G,5-6,"Snohomish, WA",Glacier Peak,High Point,560554
31,10,15,Amaria McNear,Sr.,C,6-3,"Kernersville, NC",Westridge Academy,High Point,560554
10,0,11,Mckenzie Maier,Sr.,G,5-10,"Parker, CO",Chaparral,High Point,560554
31,31,12,Lauren Bevis,Sr.,G,5-5,"Spartanburg, SC",Homeschooled,High Point,560554
30,20,4,Cydney Johnson,Sr.,G,5-11,"Raleigh, NC",Heritage,High Point,560554
31,13,10,Callie Scheier,Sr.,G,5-2,"Clemmons, NC",West Forsyth,High Point,560554
32,2,0,Bukky Akinsola,Jr.,G,5-6,"Hillside, NJ",Immaculate Conception,High Point,560554
0,0,33,Peyton Gerdes,Fr.,F,6-0,"Lake Villa, IL",Grayslake North,High Point,560554
0,0,21,Emma Larios,Fr.,G,5-7,"Asheville, NC",Asheville Christian Academy,High Point,560554
32,2,3,Jaeda Whitner,Jr.,G,5-5,"Mason City, IA",Mason City HS,A&M-Corpus Christi,560556
28,0,15,Sasha Shishkina,Sr.,G,5-8,"Moscow, Russia",Georgia Highlands College,A&M-Corpus Christi,560556
31,2,14,Bruna Anguera,So.,C,6-2,"el Morell, Spain",Ies Llavaneres,A&M-Corpus Christi,560556
32,32,11,Paige Allen,Sr.,G,5-8,"Kansas City, MO",Oak Park HS,A&M-Corpus Christi,560556
32,5,32,Nabaweeyah McGill,Sr.,F,6-2,"Tampa, FL",Carrollwood Day School,A&M-Corpus Christi,560556
32,20,25,Mireia Aguado,Sr.,G,5-9,"Barcelona, Spain",Josep tous,A&M-Corpus Christi,560556
22,6,21,Maya Ellis,Jr.,G,5-8,"Chesterfield, VA",Meadowbrook HS,A&M-Corpus Christi,560556
27,24,24,Violeta Verano,Sr.,G,5-9,"Barcelona, Spain",Ins Merce Rodoreda,A&M-Corpus Christi,560556
32,24,30,Annukka Willstedt,Jr.,G,5-9,"Torrelodones, Spain",IES Diego Velazquez,A&M-Corpus Christi,560556
32,32,13,Alecia Westbrook,Sr.,F,6-1,"Kansas City, MO",Park Hill South HS,A&M-Corpus Christi,560556
15,0,10,Andrea Montesinos,Fr.,G,5-8,"Valencia, Spain",Marti Sorolla,A&M-Corpus Christi,560556
5,0,20,Torie Sevier,Fr.,C,6-4,"Aubrey, TX",,A&M-Corpus Christi,560556
14,0,22,Claudia Diez,Fr.,F,6-3,"Valencia, Spain",El Armelar,A&M-Corpus Christi,560556
32,13,2,Tymberlin Criswell,Jr.,G,5-8,"Houston, TX",The Village,A&M-Corpus Christi,560556
30,10,1,Claira McGowan,Jr.,G,5-7,"Murfreesboro, TN",Oakland High School,Lipscomb,560559
29,28,3,Molly Heard,So.,G,6-0,"Pisgah, AL",Pisgah High School,Lipscomb,560559
29,29,5,Aleah Sorrentino,Jr.,F,6-3,"Palm Bay, FL",Florida Prep,Lipscomb,560559
21,0,13,Kamil Collier,So.,F,6-1,"Nashville, TN",Ensworth High School,Lipscomb,560559
28,28,14,Ainhoa Cea,So.,G,5-6,"Hondarribia, Spain",DME Academy,Lipscomb,560559
30,2,32,Taylor Bowen,So.,F,6-0,"Carmel, IN",Culver Academy,Lipscomb,560559
27,1,33,Diana Saleh,Sr.,C,6-3,"Dearborn, MI",Fordson High School,Lipscomb,560559
22,22,21,Bella Vinson,Jr.,G,6-2,"Manchester, TN",Coffee County HS,Lipscomb,560559
30,30,11,Blythe Pearson,Sr.,G,5-10,"Overland Park, KS",St. Thomas Aquinas,Lipscomb,560559
11,0,4,Isabella Pitta,Fr.,C,6-3,"Lake Mills, WI",Lake Mills High School,Lipscomb,560559
11,0,2,Elena Bertrand,Fr.,G,5-5,"Bristow, VA",Virginia Academy,Lipscomb,560559
0,0,23,Jalyn Holcomb,Sr.,G,5-9,"Murfreesboro, TN",Riverdale High School,Lipscomb,560559
21,0,0,Olivia Vandergriff,Fr.,G,5-7,"Guntersville, AL",Guntersville High School,Lipscomb,560559
34,2,3,Cerina Rolle,Fr.,G,5-9,"Eustis, FL",Eustis,FGCU,560561
34,4,22,Brylee Bartram,Sr.,G,5-8,"Tampa, FL",Seffner Christian Academy,FGCU,560561
25,23,1,Emani Jefferson,Jr.,G,5-6,"Miami, FL",North Port,FGCU,560561
29,0,10,Jordan Campbell,So.,G,5-9,"Purcellville, VA",IMG Academy,FGCU,560561
16,16,11,Maddie Antenucci,Jr.,G,5-10,"Cincinnati, OH",Indian Hill,FGCU,560561
